identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
56;56 Bd Victor Hugo (CB);16;2;214 BOULEVARD VICTOR HUGO;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.620304, 3.055471
60;60 Trevise;20;0;114 RUE DE DOUAI;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.621185, 3.072363
69;69 Chasseurs de Driant;20;1;11 AVENUE VERHAEREN;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.61893, 3.032539
72;72 Canteleu;5;13;237 AVENUE DE DUNKERQUE;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.637302, 3.024314
73;73 St Maurice Pellevoisin (CB);17;7;211 RUE DU FAUBOURG DE ROUBAIX;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.642315, 3.087979
79;79 Cimetiere du Sud (CB);16;4;65 RUE DU FAUBOURG DES POSTES;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.61307, 3.047221
8;08 Place Richebe (CB);1;31;3 PLACE RICHEBE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.632366, 3.062313
81;81 Guinguette;7;3;RUE JACQUARD;LILLE HELLEMMES;EN SERVICE;CONNECTEE;SANS TPE;50.63529, 3.115088
83;83 EuraTechnologies (CB);7;17;AVENUE DE BRETAGNE (DEVANT L'ENTREE D'EURATECHNOLOGIE);LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63407, 3.02066
86;86 Roger Salengro;7;5;68 RUE ROGER SALENGRO;LILLE HELLEMMES;EN SERVICE;CONNECTEE;SANS TPE;50.628742, 3.104017
89;89 Boulevard de Metz;8;10;40 BOULEVARD DE METZ;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.619312, 3.041299
96;96 Romarin (CB);16;2;ALLEE VICTOR BASCH;LA MADELEINE;EN SERVICE;CONNECTEE;AVEC TPE;50.64543, 3.075116
99;99 La Madeleine Mairie (CB);23;1;RUE DU GENERAL DE GAULLE;LA MADELEINE;EN SERVICE;CONNECTEE;AVEC TPE;50.654602, 3.073805
100;100 Saint Maur (CB);18;6;260 AVENUE DE LA REPUBLIQUE;LA MADELEINE;EN SERVICE;CONNECTEE;AVEC TPE;50.651638, 3.081625
105;105 Verdun;12;0;69 AVENUE DE VERDUN;MONS EN BAROEUL;EN SERVICE;CONNECTEE;SANS TPE;50.638126, 3.10231
108;108 General de Gaulle (CB);11;9;108 RUE DU GENERAL DE GAULLE;MONS EN BAROEUL;EN SERVICE;CONNECTEE;AVEC TPE;50.645267, 3.100516
115;115 De Gaulle;16;2;85, RUE DU GÉNÉRAL DE GAULLE;LA MADELEINE;EN SERVICE;CONNECTEE;SANS TPE;50.651497, 3.072316
118;118 College Lavoisier;9;8;56, RUE PAUL VAILLANT;LAMBERSART;EN SERVICE;CONNECTEE;SANS TPE;50.641834, 3.022364
123;123 Rue de l'Eglise (CB);6;11;71, RUE NATIONALE;MARCQ EN BAROEUL;EN SERVICE;CONNECTEE;AVEC TPE;50.665348, 3.075792
129;129 Flers Chateau (CB);6;7;RUE DE LA CHEVALERIE;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.63608, 3.130853
130;130 Pont de Bois (CB);10;20;RUE BAUDOUIN IX - MÉTRO PONT DE BOIS;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.624516, 3.127894
131;131 V.Ascq Hotel de Ville (CB);13;24;RUE VERMEER - PARKING DE L'HÔTEL DE VILLE;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.619602, 3.13197
135;135 Flers Masquelier;8;7;97, RUE JULES GUESDE;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.63745, 3.123145
136;136 Rue Chambord;11;7;RUE CHAMBORD ANGLE AVENUE DE LA CHATELLENIE;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.62972, 3.133873
142;142 Tremiere;11;9;RUE TRÉMIÈRES ANGLE RUE DES FUSILLÉS;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.6206, 3.138207
144;144 Annappes Republique (CB);17;7;FACE AU 1 BIS RUE DE LA STATION;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.6258, 3.14862
15;15 Esplanade (CB);24;0;PONT DU PETIT PARADIS;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.6449, 3.050645
151;151 Ch. des Margueritois;11;2;FACE AU 152 CHEMIN MARGUERITOIS;RONCHIN;EN SERVICE;CONNECTEE;SANS TPE;50.60642, 3.072209
158;158 Delecaut (CB);18;2;FACE AU 102 AVENUE HENRI DELECAUX;LAMBERSART;EN SERVICE;CONNECTEE;AVEC TPE;50.644943, 3.036932
19;19 Rue Royale (CB);11;13;40 RUE ROYALE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.64031, 3.05774
202;202 Parc Barbieux;12;11;AVENUE JEAN JAURES;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.677914, 3.162353
206;206 Alfred Mongy;6;18;15, BOULEVARD DU GÉNÉRAL DE GAULLE;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.688015, 3.174815
207;207 Euroteleport (CB);11;19;78-84, BOULEVARD DU GÉNÉRAL LECLERC;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.69138, 3.17966
209;209 Usine (CB);11;19;AVENUE ALFRED MOTTE;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.674995, 3.195737
210;210 Linne;5;7;192, AVENUE DE LINNÉ;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.676884, 3.187817
212;212 Danielle Lesaffre;5;13;42, RUE DUPUY DE LOMÉ;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.682053, 3.182205
213;213 Lannoy;8;10;93, RUE DE LANNOY;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.68859, 3.182028
216;216 Fraternite (CB);15;1;PLACE DE LA FRATERNITÉ;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.681797, 3.194122
217;217 Hopital Victor Provo;7;9;BOULEVARD DE LYON;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.67869, 3.172558
229;229 Nations Unies;7;11;158, BOULEVARD GAMBETTA;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.692368, 3.185092
234;234 Alsace (CB);7;9;89, BOULEVARD D'ARMENTIÈRES;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.7004, 3.161378
235;235 Blanchemaille;3;13;AVENUE DES NATIONS UNIES ANGLE RUE BLANCHEMAILLE;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.696327, 3.16713
238;238 Theatre Tourcoing (CB);5;12;1, RUE DE L'ALMA;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.72075, 3.152659
240;240 Poste (CB);5;7;22, RUE LÉON SALEMBIER;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.71922, 3.163396
241;241 Le Corbusier;5;13;RUE DES PIATS (SOUS ABRI BUS - PARVIS DE L'ATELIER);TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.722343, 3.170847
247;247 Rouget de l Isle (CB);7;8;SECTEUR BVRD DE L'EGALITÉ;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.734142, 3.167987
25;25 Gare Lille Flandres (CB);0;20;PLACE DE LA GARE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63603, 3.069678
31;31 Pont Neuf;3;17;38 BIS RUE DU PONT NEUF;LILLE;EN SERVICE;DECONNECTEE;SANS TPE;50.644264, 3.062935
36;36 Cormontaigne (CB);27;0;16 - 36 PLACE CORMONTAIGNE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.62624, 3.039911
38;38 Place Casquette;18;0;1 RUE D'HAUBOURDIN;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.62429, 3.045321
45;45 Brule Maison;15;3;51 RUE DES POSTES;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.62648, 3.056666
